,0,1,2,3,4,5,6,7,8,9
0,0.068,0.0616,0.0416,0.0442,0.0348,0.0392,0.0314,0.034,0.0268,0.0298
1,0.1548,0.1334,0.1436,0.1324,0.135,0.1318,0.1378,0.1304,0.1368,0.1344
